int_doc_id,master_ai_id,master_ai_name,program_code,activity_class_code,activity_year,activity_num,inspection_date,inspection_end_date,task_id,site_status_code,site_condition_code,lead_investigator_id,master_person_first_name,master_person_last_name,inspection_date_fiscal_year,inspection_date_fiscal_qtr,inspection_date_calendar_year,inspection_date_calendar_qtr,media_type_code,media_type,permit_num,site_status_desc,site_condition_desc,reason,recommended_action,ets_url
2099679,503,Father Martin's Ashley,37,CFI,2017,3,2017-09-06,2017-09-06,1984847,W001,0005,74014,Bertha,Custis-Hines,2018,1,2017,3,E279,NPDES Municipal Ground Water,12-DP-3764,Active,Noncompliance,"Follow-up (Non-Compliance), Initial Quarterly","Additional Investigation Required, Refer to Others (See Findings)",https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=2099679
2003101,503,Father Martin's Ashley,37,CFI,2017,2,2017-02-15,2017-02-15,1868842,W001,0005,74014,Bertha,Custis-Hines,2017,3,2017,1,E279,NPDES Municipal Ground Water,12-DP-3764,Active,Noncompliance,"Initial Quarterly, Initial Yearly, Routine Scheduled, Follow-up (Non-Compliance)","Continue Routine Inspection, Additional Investigation Required, Refer to Others (See Findings)",https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=2003101
2785803,503,Father Martin's Ashley,37,CFI,2021,1,2021-06-21,2021-06-21,NA,W001,0005,74014,Bertha,Custis-Hines,2021,4,2021,2,E280,NPDES Industrial Ground Water,12DP3764,Active,Noncompliance,"Follow-up (Non-Compliance), Initial Quarterly, Initial Yearly","Continue Routine Inspection, Refer to Others (See Findings), Additional Investigation Required",https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=2785803
1846144,503,Father Martin's Ashley,37,CFI,2016,1,2016-02-24,2016-02-24,1688875,W001,0003,74014,Bertha,Custis-Hines,2016,3,2016,1,E279,NPDES Municipal Ground Water,12-DP-3764,Active,Additional Investigation Required,"Initial Quarterly, Initial Yearly, Routine Scheduled","Additional Investigation Required, Continue Routine Inspection",https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1846144
2432711,503,Father Martin's Ashley,37,CFI,2019,1,2020-12-15,2020-12-15,2361261,W001,0005,74014,Bertha,Custis-Hines,2021,2,2020,4,E279,NPDES Municipal Ground Water,12-DP-3764,Active,Noncompliance,"Initial Quarterly, Routine Scheduled, Violation Follow-up, Initial Yearly",Continue Routine Inspection,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=2432711
2411764,579,Harford Technical High School,37,CFI,2019,1,2019-07-30,2019-07-30,2334266,W001,0005,74014,Bertha,Custis-Hines,2020,1,2019,3,E279,NPDES Municipal Ground Water,15-DP-3285,Active,Noncompliance,"Routine Scheduled, Initial Quarterly, Initial Yearly",Continue Routine Inspection,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=2411764
2067040,579,Harford Technical High School,37,CFI,2017,1,2017-06-28,2017-06-28,1945871,W001,0001,74014,Bertha,Custis-Hines,2017,4,2017,2,E279,NPDES Municipal Ground Water,15DP3285,Active,Satisfactory/Compliance,"Routine Scheduled, Initial Yearly, Initial Quarterly",Continue Routine Inspection,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=2067040
2537764,579,Harford Technical High School,37,CFI,2020,1,2020-03-09,2020-03-09,2486541,W001,0003,74014,Bertha,Custis-Hines,2020,3,2020,1,E279,NPDES Municipal Ground Water,15-DP-3285,Active,Additional Investigation Required,"Initial Yearly, Initial Quarterly, Routine Scheduled","Additional Investigation Required, Continue Routine Inspection",https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=2537764
1750200,579,Harford Technical High School,37,CFI,2015,1,2015-05-07,2015-05-07,1582304,W001,0005,21980,Shailaja,Polasi,2015,4,2015,2,E279,NPDES Municipal Ground Water,DP-,Active,Noncompliance,"Initial Quarterly, Initial Yearly, Routine Scheduled",Continue Routine Inspection,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1750200
3353122,579,Harford Technical High School,37,CFI,2025,1,2025-09-04,2025-09-04,NA,W001,NA,1169632,Francesca,Galasso,2026,1,2025,3,E279,NPDES Municipal Ground Water,23-DP-3285,Active,NA,"Routine Scheduled, Initial Yearly, Follow-up (Non-Compliance)",Continue Routine Inspection,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=3353122
1653922,1471,Certified Auto Body & Service Center,37,CFI,2014,3,2014-10-27,2014-10-27,1456363,W001,0001,21977,Greg,Kolarik,2015,2,2014,4,E280,NPDES Industrial Ground Water,12-DP-3339,Active,Satisfactory/Compliance,Violation Follow-up,Continue Routine Inspection,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1653922
1637861,1471,Certified Auto Body & Service Center,37,CFI,2014,2,2014-09-29,2014-09-29,1437338,W001,0005,21977,Greg,Kolarik,2015,1,2014,3,E280,NPDES Industrial Ground Water,12-DP-3339,Active,Noncompliance,Violation Follow-up,"Refer to Others (See Findings), Additional Investigation Required",https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1637861
405978,1671,Southern Middle School,37,CFI,2009,2,2009-06-08,2009-06-08,NA,NA,NA,21980,Shailaja,Polasi,2009,4,2009,2,E279,NPDES Municipal Ground Water,NA,NA,NA,NA,NA,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=405978
405997,1671,Southern Middle School,37,CFI,2009,1,2009-06-03,2009-06-03,NA,NA,NA,21980,Shailaja,Polasi,2009,4,2009,2,E279,NPDES Municipal Ground Water,NA,NA,NA,NA,NA,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=405997
2490036,1671,Southern Middle School,37,CFI,2019,1,2019-04-08,2019-04-08,2436560,W001,0005,21980,Shailaja,Polasi,2019,4,2019,2,E279,NPDES Municipal Ground Water,DP-3399,Active,Noncompliance,"Routine Scheduled, Initial Quarterly, Initial Yearly",Additional Investigation Required,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=2490036
2517361,1671,Southern Middle School,37,CFI,2020,1,2020-02-24,2020-02-24,2467781,W001,0001,21980,Shailaja,Polasi,2020,3,2020,1,E279,NPDES Municipal Ground Water,DP-3399,Active,Satisfactory/Compliance,Routine Scheduled,"Additional Investigation Required, Refer to Others (See Findings)",https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=2517361
1140644,1802,Smithsonian Environmental Research Center,37,CFI,2011,1,2011-03-17,2011-03-17,NA,W001,0001,21980,Shailaja,Polasi,2011,3,2011,1,E280,NPDES Industrial Ground Water,NA,Active,Satisfactory/Compliance,Routine Scheduled,Additional Investigation Required,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1140644
2728632,1802,Smithsonian Environmental Research Center,37,CFI,2021,1,2021-03-03,2021-03-03,NA,W001,0005,21947,Adriana,Frangos,2021,3,2021,1,E279,NPDES Municipal Ground Water,DP3562,Active,Noncompliance,"Initial Quarterly, Initial Yearly, Routine Scheduled",Additional Investigation Required,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=2728632
2835018,1802,Smithsonian Environmental Research Center,37,CFI,2021,3,2021-10-18,2021-11-18,NA,W001,NA,21947,Adriana,Frangos,2022,2,2021,4,E279,NPDES Municipal Ground Water,DP3562,Active,NA,Follow-up (Non-Compliance),Additional Investigation Required,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=2835018
3068193,1802,Smithsonian Environmental Research Center,37,CFI,2023,1,2023-09-25,2023-09-26,NA,W001,0003,1169976,Christopher,Lepadatu  ,2024,1,2023,3,E279,NPDES Municipal Ground Water,20DP3562,Active,Additional Investigation Required,Initial Yearly,"Continue Routine Inspection, Continue Routine Inspection",https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=3068193
1443743,1839,Fort George G. Meade WWTP,37,CFI,2013,11,2013-05-21,2013-05-21,1215253,W003,0001,23357,Punam,Tyagi,2013,4,2013,2,E279,NPDES Municipal Ground Water,NA,Complete,Satisfactory/Compliance,PAF,Close File,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1443743
1719180,2065,Browning Ferris Inc Solley Road Sanitary Landfill,37,CFI,2015,1,2015-04-16,2015-04-16,1540702,W001,0005,24297,Tammy,Roberson,2015,4,2015,2,E280,NPDES Industrial Ground Water,11-DP-2755,Active,Noncompliance,"Initial Quarterly, Routine Scheduled, Initial Yearly",Additional Investigation Required,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1719180
2857589,2065,Browning Ferris Inc Solley Road Sanitary Landfill,37,CFI,2022,1,2022-01-10,2022-01-10,NA,W001,NA,108108,Wendy,Huang,2022,3,2022,1,E280,NPDES Industrial Ground Water,16-DP-2755,Active,NA,"Initial Quarterly, Initial Yearly, Routine Scheduled","Continue Routine Inspection, Additional Investigation Required",https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=2857589
2219283,2065,Browning Ferris Inc Solley Road Sanitary Landfill,37,CFI,2018,2,2018-05-09,2018-05-09,2123156,W001,0001,98753,Shavaun,Jenkins,2018,4,2018,2,E280,NPDES Industrial Ground Water,11-DP-2755,Active,Satisfactory/Compliance,PAF Follow-up,Close File,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=2219283
2210556,2065,Browning Ferris Inc Solley Road Sanitary Landfill,37,CFI,2018,1,2018-04-19,2018-04-19,2113521,W004,0005,98753,Shavaun,Jenkins,2018,4,2018,2,E280,NPDES Industrial Ground Water,NA,Active - No work today,Noncompliance,"SSO, Initial Quarterly, PAF, Initial Yearly",Continue Routine Inspection,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=2210556
2032102,2065,Browning Ferris Inc Solley Road Sanitary Landfill,37,CFI,2017,3,2017-04-19,2017-04-19,1904745,W001,0003,98753,Shavaun,Jenkins,2017,4,2017,2,E280,NPDES Industrial Ground Water,11-DP-2755,Active,Additional Investigation Required,"Routine Scheduled, Initial Yearly, Initial Quarterly",Additional Investigation Required,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=2032102
2063703,2065,Browning Ferris Inc Solley Road Sanitary Landfill,37,CFI,2017,4,2017-06-23,2017-06-23,1942149,W001,0005,98753,Shavaun,Jenkins,2017,4,2017,2,E280,NPDES Industrial Ground Water,11-DP-2755,Active,Noncompliance,Routine Scheduled,Continue Routine Inspection,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=2063703
1212613,2102,W. R. Grace & Co. - Curtis Bay Works,37,CFI,2011,3,2011-10-07,2011-10-07,910739,W001,0005,21980,Shailaja,Polasi,2012,2,2011,4,E280,NPDES Industrial Ground Water,NA,Active,Noncompliance,"Initial Yearly, Initial Quarterly, Routine Scheduled","Refer to Others (See Findings), Additional Investigation Required, Additional Investigation Required, Refer to Others (See Findings)",https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1212613
1299812,2102,W. R. Grace & Co. - Curtis Bay Works,37,CFI,2012,1,2012-05-16,2012-05-16,1057268,W001,0003,21980,Shailaja,Polasi,2012,4,2012,2,E280,NPDES Industrial Ground Water,NA,Active,Additional Investigation Required,Follow-up (Non-Compliance),Additional Investigation Required,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1299812
3352300,2193,Northrop Grumman Systems Corporation - Elkton,37,CFI,2025,3,2025-08-19,2025-08-19,NA,W001,NA,1173096,Jacob,Lang,2026,1,2025,3,E280,NPDES Industrial Ground Water,20CPH08TC,Active,NA,Routine Scheduled,"Continue Routine Inspection, Continue Routine Inspection",https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=3352300
1060417,2201,Murray Corporation,37,CFI,2010,1,2010-10-19,2010-10-19,NA,W001,0005,23119,Andrea,Buie-Branam,2011,2,2010,4,E280,NPDES Industrial Ground Water,02-SW-3016,Active,Noncompliance,"Initial Yearly, PAF, Initial Quarterly","Refer to Others (See Findings), Refer to Others (See Findings)",https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1060417
1063164,2201,Murray Corporation,37,CFI,2010,2,2010-10-25,2010-10-25,NA,W001,0005,23119,Andrea,Buie-Branam,2011,2,2010,4,E280,NPDES Industrial Ground Water,02-SW-3016,Active,Noncompliance,PAF,"Refer to Others (See Findings), Refer to Others (See Findings)",https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1063164
3391519,2230,"Mack Trucks, Inc - Volvo",37,CFI,2026,1,2026-02-02,2026-02-02,NA,W001,NA,1179270,Jakob,Mortimore,2026,3,2026,1,E280,NPDES Industrial Ground Water,19-DP-0390,Active,NA,Initial Yearly,Continue Routine Inspection,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=3391519
1979849,2268,Duvinage Corporation,37,CFI,2017,1,2017-01-12,2017-01-12,1842062,W001,0001,21962,Charles,Hatfield,2017,3,2017,1,E280,NPDES Industrial Ground Water,11-DP-1420,Active,Satisfactory/Compliance,"Follow-up (Non-Compliance), Initial Yearly, Initial Quarterly, Routine Scheduled","Continue Routine Inspection, Continue Routine Inspection",https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1979849
953983,2314,"Tidewater Direct, LLC",37,CFI,2009,1,2009-11-10,2009-11-10,NA,NA,NA,21960,Chris,Westergard,2010,2,2009,4,E279,NPDES Municipal Ground Water,NA,NA,NA,NA,NA,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=953983
332079,2453,"Remed-Alliant Techsystems, Inc.",37,CFI,2008,1,2008-10-22,2008-10-22,NA,NA,NA,21980,Shailaja,Polasi,2009,2,2008,4,E280,NPDES Industrial Ground Water,NA,NA,NA,NA,NA,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=332079
1416180,2649,Elliott Wilson Trucks,37,CFI,2013,1,2013-03-14,2013-03-14,1183206,W002,0001,21951,Nancy,Craft,2013,3,2013,1,E280,NPDES Industrial Ground Water,01-DP-2721,Inactive,Satisfactory/Compliance,"Initial Yearly, Routine Scheduled, Initial Quarterly",Close File,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1416180
3053180,2666,STUPS AUTO CENTER,37,CFI,2023,1,2023-07-27,2023-07-27,NA,W001,NA,97991,Leonard,Cage,2024,1,2023,3,E280,NPDES Industrial Ground Water,16VW2440,Active,NA,"Routine Scheduled, Initial Yearly, 5 Year Inspection","Additional Investigation Required, Close File",https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=3053180
1542951,2832,Delmarva Power & Light Co - Bay Regional Office,37,CFI,2014,1,2014-01-31,2014-01-31,1325012,W001,0001,21950,Dennis,Brown,2014,3,2014,1,E280,NPDES Industrial Ground Water,11-DP-3743,Active,Satisfactory/Compliance,"Violation Follow-up, Initial Quarterly",Continue Routine Investigation,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1542951
1463466,2832,Delmarva Power & Light Co - Bay Regional Office,37,CFI,2013,1,2013-07-02,2013-07-02,1237172,W001,0005,26076,Brennan,Greene,2014,1,2013,3,E280,NPDES Industrial Ground Water,11-DP-3743,Active,Noncompliance,"Initial Quarterly, Initial Yearly, Routine Scheduled",Continue Routine Investigation,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1463466
3067814,2879,"Central Precision, Inc.",37,CFI,2023,1,2023-10-02,2023-10-02,NA,W001,0005,1170265,Collin,Bucher,2024,2,2023,4,E280,NPDES Industrial Ground Water,17-HT-9689,Active,Noncompliance,"Complaint, 5 Year Inspection, Initial Quarterly, Initial Yearly","Continue Routine Inspection, Continue Routine Inspection",https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=3067814
1063914,2928,Hearne-Crown,37,CFI,2011,2,2010-10-28,2010-10-28,NA,W001,0005,21983,Michele,Burroughs,2011,2,2010,4,E279,NPDES Municipal Ground Water,DP-2503A/MD0063282,Active,Noncompliance,"Follow-up (Non-Compliance), Routine Scheduled",Refer to Others (See Findings),https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1063914
1843609,3183,Ourisman Honda of Laurel,37,CFI,2016,2,2016-03-02,2016-03-02,1685626,W001,0005,24297,Tammy,Roberson,2016,3,2016,1,E280,NPDES Industrial Ground Water,10-DP-3692,Active,Noncompliance,Follow-up (Non-Compliance),Additional Investigation Required,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1843609
1818863,3183,Ourisman Honda of Laurel,37,CFI,2016,1,2016-01-04,2016-01-04,1659315,W001,0005,24297,Tammy,Roberson,2016,3,2016,1,E280,NPDES Industrial Ground Water,10-DP-3692,Active,Noncompliance,"Initial Yearly, Initial Quarterly, Routine Scheduled","Additional Investigation Required, Refer to Others (See Findings)",https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1818863
1383341,3183,Ourisman Honda of Laurel,37,CFI,2013,1,2012-12-20,2012-12-20,1147519,W001,0003,21980,Shailaja,Polasi,2013,2,2012,4,E279,NPDES Municipal Ground Water,NA,Active,Additional Investigation Required,"Initial Quarterly, Initial Yearly, Routine Scheduled",Additional Investigation Required,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1383341
2297343,3306,"American Aquaculture Holdings, LLC",37,CFI,2018,6,2018-10-25,2018-11-01,2208308,W001,0001,21952,Randy,Denny,2019,2,2018,4,E280,NPDES Industrial Ground Water,10-DP-1081,Active,Satisfactory/Compliance,"Initial Quarterly, PAF",Continue Routine Inspection,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=2297343
2351357,3306,"American Aquaculture Holdings, LLC",37,CFI,2019,2,2019-03-07,2019-03-13,2265687,W001,0001,21952,Randy,Denny,2019,3,2019,1,E280,NPDES Industrial Ground Water,10-DP-1081,Active,Satisfactory/Compliance,Routine Scheduled,Continue Routine Inspection,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=2351357
2143729,3365,UPRC - Westernport WWTP,37,CFI,2017,4,2017-12-04,2017-12-07,2037040,W001,0001,21962,Charles,Hatfield,2018,2,2017,4,E280,NPDES Industrial Ground Water,05=DP-0230,Active,Satisfactory/Compliance,"PAF, Initial Quarterly",Continue Routine Investigation,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=2143729
1401177,3746,"Choptank Electric Cooperative, Inc.",37,CFI,2013,1,2013-02-14,2013-02-14,1166643,W001,0005,21953,Maureen,Eckard,2013,3,2013,1,E280,NPDES Industrial Ground Water,12-DP-3046 MD0066761,Active,Noncompliance,"Routine Scheduled, Initial Quarterly, Initial Yearly","Refer to Others (See Findings), Continue Routine Investigation",https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1401177
1432902,3746,"Choptank Electric Cooperative, Inc.",37,CFI,2013,2,2013-04-18,2013-04-18,1202507,W001,0001,21953,Maureen,Eckard,2013,4,2013,2,E280,NPDES Industrial Ground Water,12-DP-3046,Active,Satisfactory/Compliance,"Routine Scheduled, Follow-up (Non-Compliance)",Continue Routine Investigation,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1432902
1252149,3878,Firestone Complete Auto Care #024511,37,CFI,2012,1,2012-03-02,2012-03-02,954340,W001,0001,23119,Andrea,Buie-Branam,2012,3,2012,1,E280,NPDES Industrial Ground Water,NA,Active,Satisfactory/Compliance,"Initial Quarterly, PAF, Initial Yearly",Close File,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1252149
2159038,4030,A T & T - Monrovia,37,CFI,2018,1,2018-01-05,2018-01-05,2054786,W001,0005,90264,Kate,Ansalvish,2018,3,2018,1,E280,NPDES Industrial Ground Water,11-DP-2972,Active,Noncompliance,5 Year Inspection,Additional Investigation Required,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=2159038
3105274,4030,A T & T - Monrovia,37,CFI,2024,2,2024-02-01,2024-02-01,NA,W001,NA,1169603,Jacob,Haglund,2024,3,2024,1,E280,NPDES Industrial Ground Water,17DP2972,Active,NA,"5 Year Inspection, Initial Quarterly, Initial Yearly, Routine Scheduled",Continue Routine Inspection,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=3105274
1657808,4143,CSX Transportation Inc. Locomotive Shop,37,CFI,2014,1,2014-11-06,2014-11-06,1461889,W001,0003,21962,Charles,Hatfield,2015,2,2014,4,E280,NPDES Industrial Ground Water,NA,Active,Additional Investigation Required,"Initial Quarterly, Routine Scheduled, PAF Follow-up, Initial Yearly",Continue Routine Investigation,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1657808
1646564,4232,Maryland City Water Reclamation Facility,37,CFI,2014,4,2014-10-16,2014-10-16,1447142,W001,0005,23357,Punam,Tyagi,2015,2,2014,4,E280,NPDES Industrial Ground Water,NA,Active,Noncompliance,"Initial Yearly, Initial Quarterly, PAF",Continue Routine Investigation,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1646564
1257264,4729,Forestville Asphalt Company,37,CFI,2012,1,2012-02-29,2012-02-29,958828,W004,0005,24014,Gregory,Hazzard,2012,3,2012,1,E280,NPDES Industrial Ground Water,09-DP-2771,Active - No work today,Noncompliance,"Initial Quarterly, Initial Yearly, Routine Scheduled","Additional Investigation Required, Continue Routine Investigation",https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1257264
1258945,4729,Forestville Asphalt Company,37,CFI,2012,2,2012-03-14,2012-03-14,960775,W004,0003,24014,Gregory,Hazzard,2012,3,2012,1,E280,NPDES Industrial Ground Water,09-DP-2771,Active - No work today,Additional Investigation Required,"Routine Scheduled, Follow-up (Non-Compliance)","Additional Investigation Required, Continue Routine Investigation",https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1258945
1030410,5181,"Great Southern Wood - MD, Inc",37,CIN,2010,1,2010-07-23,2010-07-23,NA,W001,0003,21974,Rich,Wolters,2011,1,2010,3,E280,NPDES Industrial Ground Water,NA,Active,Additional Investigation Required,PAF,Additional Investigation Required,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1030410
2969849,5232,A-1 AUTO BODY,37,CFI,2023,1,2023-01-13,2023-01-13,NA,W001,NA,21948,Kari,Hanson,2023,3,2023,1,E280,NPDES Industrial Ground Water,N/A,Active,NA,"Complaint, Initial Quarterly, Initial Yearly",Additional Investigation Required,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=2969849
3005524,5232,A-1 AUTO BODY,37,CFI,2023,2,2023-03-30,2023-03-30,NA,W001,NA,21948,Kari,Hanson,2023,3,2023,1,E280,NPDES Industrial Ground Water,N/A,Active,NA,Follow-up (Non-Compliance),Additional Investigation Required,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=3005524
3054789,5232,A-1 AUTO BODY,37,CFI,2023,3,2023-08-15,2023-08-15,NA,W001,NA,21948,Kari,Hanson,2024,1,2023,3,E280,NPDES Industrial Ground Water,16VW0064,Active,NA,"Follow-up (Non-Compliance), Initial Quarterly, Initial Yearly",Continue Routine Inspection,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=3054789
3199405,5232,A-1 AUTO BODY,37,CFI,2024,1,2024-08-07,2024-08-07,NA,W001,NA,1170194,Peter,Gatesman,2025,1,2024,3,E280,NPDES Industrial Ground Water,21VW0064,Active,NA,"Initial Quarterly, Initial Yearly","Continue Routine Inspection, Continue Routine Inspection",https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=3199405
991204,5262,SHA - Green Hill Cove Treatment Facility,37,CFI,2010,1,2010-03-31,2010-03-31,NA,NA,NA,22033,Thomas,Johnson,2010,3,2010,1,E280,NPDES Industrial Ground Water,NA,NA,NA,NA,NA,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=991204
