permit_id,permit_number,npdes_num,master_ai_name,COUNTY_DESC,perwriter_userid,ptype,permit_class,cur_status_descr,cur_status_date,prev_permit_exp,orig_sub_date,custom_task_desc,completed_date,approval_issued,lst_issu,exp_date,effective_end_date
DP3223,25DP3223,MD3223N07,Triadelphia Ridge Elementary School,Howard,L Hudson,WMA4,Renewal,Pending Effective,2025-11-19T05:00:00Z,2025-12-31T05:00:00Z,2025-06-04T04:00:00Z,TDOPH - Written comment period ends,2025-11-17T05:00:00Z,2025-11-19T05:00:00Z,2026-01-01T05:00:00Z,2030-12-31T05:00:00Z,2030-12-31T05:00:00Z
DP3225,25DP3225,MD3225S03,Charlotte Hall Square,St. Mary's,E Lambertini,WMA4,Renewal,Pending Effective,2025-11-19T05:00:00Z,2026-06-30T04:00:00Z,2025-04-15T04:00:00Z,TDOPH - Written comment period ends,2025-11-17T05:00:00Z,2025-11-19T05:00:00Z,2026-07-01T04:00:00Z,2031-06-30T04:00:00Z,2031-06-30T04:00:00Z
DP3785,26DP3785,MD3785C13,Hereford High School,Baltimore,L Hudson,WMA4,Renewal,Pending,2025-10-23T04:00:00Z,2025-12-31T05:00:00Z,2025-10-23T04:00:00Z,OIM - Meeting request period ends,2025-11-17T05:00:00Z,NA,NA,NA,NA
DP3747,24DP3747,MD3747I11,Lions Camp Merrick,Charles,E Lambertini,WMA4,New,Pending,2024-04-01T04:00:00Z,2017-12-31T05:00:00Z,2024-04-01T04:00:00Z,TDOPH - First notice published,2025-11-14T05:00:00Z,NA,NA,NA,NA
DP3835,26DP3835,MD3835H16,Recovery Centers of America Earleville,Cecil,E Lambertini,WMA4,Renewal,Pending,2025-09-11T04:00:00Z,NA,2025-09-11T04:00:00Z,TDOPH - First notice published,2025-11-14T05:00:00Z,NA,NA,NA,NA
DP2833,25DP2833,MD2833K06,Clustered Spires Golf Course,Frederick,H Billian,WMA4,Renewal,Pending,2024-10-04T04:00:00Z,2025-09-30T04:00:00Z,2024-10-04T04:00:00Z,TDOPH - Written comment period ends,2025-11-13T05:00:00Z,NA,NA,NA,NA
DP3401,25DP3401,MD3401X08,Ocean Landing II,Worcester,H Billian,WMA4,Renewal,Pending,2024-12-27T05:00:00Z,2025-12-31T05:00:00Z,2024-12-27T05:00:00Z,TDOPH - Hearing request period ends,2025-11-12T05:00:00Z,NA,NA,NA,NA
DP3746,26DP3746,MD3746C11,Tradepoint Atlantic,Baltimore,E Lambertini,WMA3,Renewal,Pending,2025-10-06T04:00:00Z,2026-05-31T04:00:00Z,2025-10-06T04:00:00Z,OIM - Meeting request period ends,2025-11-07T05:00:00Z,NA,NA,NA,NA
DP3785,26DP3785,MD3785C13,Hereford High School,Baltimore,L Hudson,WMA4,Renewal,Pending,2025-10-23T04:00:00Z,2025-12-31T05:00:00Z,2025-10-23T04:00:00Z,OIM - Second notice published,2025-11-07T05:00:00Z,NA,NA,NA,NA
DP3225,25DP3225,MD3225S03,Charlotte Hall Square,St. Mary's,E Lambertini,WMA4,Renewal,Pending Effective,2025-11-19T05:00:00Z,2026-06-30T04:00:00Z,2025-04-15T04:00:00Z,TDOPH - Hearing request period ends,2025-11-06T05:00:00Z,2025-11-19T05:00:00Z,2026-07-01T04:00:00Z,2031-06-30T04:00:00Z,2031-06-30T04:00:00Z
DP1430,25DP1430,MD1430X06,"Perdue Farms, Inc. - Hatchery No. 10",Somerset,J Robinson,WMA3,Renewal,Pending,2024-09-11T04:00:00Z,2025-02-28T05:00:00Z,2024-09-11T04:00:00Z,TDOPH - Second notice published,2025-11-05T05:00:00Z,NA,NA,NA,NA
DP2896,25DP2896,MD2896P09,Poolesville Golf Course WWTP,Montgomery,L Hudson,WMA4,Renewal,Pending Effective,2025-11-19T05:00:00Z,2025-12-31T05:00:00Z,2025-01-23T05:00:00Z,TDOPH - Hearing request period ends,2025-11-05T05:00:00Z,2025-11-19T05:00:00Z,2026-01-01T05:00:00Z,2030-12-31T05:00:00Z,2030-12-31T05:00:00Z
DP3223,25DP3223,MD3223N07,Triadelphia Ridge Elementary School,Howard,L Hudson,WMA4,Renewal,Pending Effective,2025-11-19T05:00:00Z,2025-12-31T05:00:00Z,2025-06-04T04:00:00Z,TDOPH - Hearing request period ends,2025-11-05T05:00:00Z,2025-11-19T05:00:00Z,2026-01-01T05:00:00Z,2030-12-31T05:00:00Z,2030-12-31T05:00:00Z
DP1499,26DP1499,MD1499Q84,"Patuxent River 4-H Center Foundation, Inc.",Prince George's,H Billian,WMA4,Renewal,Pending,2025-08-04T04:00:00Z,2025-09-30T04:00:00Z,2025-08-04T04:00:00Z,TDOPH - Written comment period ends,2025-11-03T05:00:00Z,NA,NA,NA,NA
DP3305,25DP3305,MD3305C99,Pearlstone Family Camp,Baltimore,H Billian,WMA4,Renewal,Pending,2024-09-04T04:00:00Z,2025-11-29T05:00:00Z,2024-09-04T04:00:00Z,TDOPH - Written comment period ends,2025-11-03T05:00:00Z,NA,NA,NA,NA
DP2833,25DP2833,MD2833K06,Clustered Spires Golf Course,Frederick,H Billian,WMA4,Renewal,Pending,2024-10-04T04:00:00Z,2025-09-30T04:00:00Z,2024-10-04T04:00:00Z,TDOPH - Hearing request period ends,2025-11-03T05:00:00Z,NA,NA,NA,NA
DP3746,26DP3746,MD3746C11,Tradepoint Atlantic,Baltimore,E Lambertini,WMA3,Renewal,Pending,2025-10-06T04:00:00Z,2026-05-31T04:00:00Z,2025-10-06T04:00:00Z,OIM - Second notice published,2025-10-31T04:00:00Z,NA,NA,NA,NA
DP3785,26DP3785,MD3785C13,Hereford High School,Baltimore,L Hudson,WMA4,Renewal,Pending,2025-10-23T04:00:00Z,2025-12-31T05:00:00Z,2025-10-23T04:00:00Z,OIM - First notice published,2025-10-31T04:00:00Z,NA,NA,NA,NA
DP3401,25DP3401,MD3401X08,Ocean Landing II,Worcester,H Billian,WMA4,Renewal,Pending,2024-12-27T05:00:00Z,2025-12-31T05:00:00Z,2024-12-27T05:00:00Z,TDOPH - Second notice published,2025-10-30T04:00:00Z,NA,NA,NA,NA
DP1430,25DP1430,MD1430X06,"Perdue Farms, Inc. - Hatchery No. 10",Somerset,J Robinson,WMA3,Renewal,Pending,2024-09-11T04:00:00Z,2025-02-28T05:00:00Z,2024-09-11T04:00:00Z,TDOPH - First notice published,2025-10-29T04:00:00Z,NA,NA,NA,NA
DP3746,26DP3746,MD3746C11,Tradepoint Atlantic,Baltimore,E Lambertini,WMA3,Renewal,Pending,2025-10-06T04:00:00Z,2026-05-31T04:00:00Z,2025-10-06T04:00:00Z,OIM - First notice published,2025-10-24T04:00:00Z,NA,NA,NA,NA
DP3390,25DP3390,MD3390B02,Atria Manresa Nursing Home,Anne Arundel,H Billian,WMA4,Renewal,Pending Effective,2025-11-10T05:00:00Z,2025-12-31T05:00:00Z,2025-05-04T04:00:00Z,TDOPH - Written comment period ends,2025-10-24T04:00:00Z,2025-11-10T05:00:00Z,2026-01-01T05:00:00Z,2030-12-31T05:00:00Z,2030-12-31T05:00:00Z
DP3225,25DP3225,MD3225S03,Charlotte Hall Square,St. Mary's,E Lambertini,WMA4,Renewal,Pending Effective,2025-11-19T05:00:00Z,2026-06-30T04:00:00Z,2025-04-15T04:00:00Z,TDOPH - Second notice published,2025-10-24T04:00:00Z,2025-11-19T05:00:00Z,2026-07-01T04:00:00Z,2031-06-30T04:00:00Z,2031-06-30T04:00:00Z
DP3305,25DP3305,MD3305C99,Pearlstone Family Camp,Baltimore,H Billian,WMA4,Renewal,Pending,2024-09-04T04:00:00Z,2025-11-29T05:00:00Z,2024-09-04T04:00:00Z,TDOPH - Hearing request period ends,2025-10-23T04:00:00Z,NA,NA,NA,NA
DP2896,25DP2896,MD2896P09,Poolesville Golf Course WWTP,Montgomery,L Hudson,WMA4,Renewal,Pending Effective,2025-11-19T05:00:00Z,2025-12-31T05:00:00Z,2025-01-23T05:00:00Z,TDOPH - Second notice published,2025-10-23T04:00:00Z,2025-11-19T05:00:00Z,2026-01-01T05:00:00Z,2030-12-31T05:00:00Z,2030-12-31T05:00:00Z
DP3401,25DP3401,MD3401X08,Ocean Landing II,Worcester,H Billian,WMA4,Renewal,Pending,2024-12-27T05:00:00Z,2025-12-31T05:00:00Z,2024-12-27T05:00:00Z,TDOPH - First notice published,2025-10-23T04:00:00Z,NA,NA,NA,NA
DP3223,25DP3223,MD3223N07,Triadelphia Ridge Elementary School,Howard,L Hudson,WMA4,Renewal,Pending Effective,2025-11-19T05:00:00Z,2025-12-31T05:00:00Z,2025-06-04T04:00:00Z,TDOPH - Second notice published,2025-10-23T04:00:00Z,2025-11-19T05:00:00Z,2026-01-01T05:00:00Z,2030-12-31T05:00:00Z,2030-12-31T05:00:00Z
DP1499,26DP1499,MD1499Q84,"Patuxent River 4-H Center Foundation, Inc.",Prince George's,H Billian,WMA4,Renewal,Pending,2025-08-04T04:00:00Z,2025-09-30T04:00:00Z,2025-08-04T04:00:00Z,TDOPH - Hearing request period ends,2025-10-22T04:00:00Z,NA,NA,NA,NA
DP2833,25DP2833,MD2833K06,Clustered Spires Golf Course,Frederick,H Billian,WMA4,Renewal,Pending,2024-10-04T04:00:00Z,2025-09-30T04:00:00Z,2024-10-04T04:00:00Z,TDOPH - Second notice published,2025-10-21T04:00:00Z,NA,NA,NA,NA
DP2273,21DP2273,MD2273X04,Mystic Harbour WWTP,Worcester,D Dewa,WMA4,Renewal,Pending,2021-03-03T05:00:00Z,2022-04-30T04:00:00Z,2021-03-03T05:00:00Z,TDOPH - Written comment period ends,2025-10-20T04:00:00Z,NA,NA,NA,NA
DP3225,25DP3225,MD3225S03,Charlotte Hall Square,St. Mary's,E Lambertini,WMA4,Renewal,Pending Effective,2025-11-19T05:00:00Z,2026-06-30T04:00:00Z,2025-04-15T04:00:00Z,TDOPH - First notice published,2025-10-17T04:00:00Z,2025-11-19T05:00:00Z,2026-07-01T04:00:00Z,2031-06-30T04:00:00Z,2031-06-30T04:00:00Z
DP2896,25DP2896,MD2896P09,Poolesville Golf Course WWTP,Montgomery,L Hudson,WMA4,Renewal,Pending Effective,2025-11-19T05:00:00Z,2025-12-31T05:00:00Z,2025-01-23T05:00:00Z,TDOPH - First notice published,2025-10-16T04:00:00Z,2025-11-19T05:00:00Z,2026-01-01T05:00:00Z,2030-12-31T05:00:00Z,2030-12-31T05:00:00Z
DP3223,25DP3223,MD3223N07,Triadelphia Ridge Elementary School,Howard,L Hudson,WMA4,Renewal,Pending Effective,2025-11-19T05:00:00Z,2025-12-31T05:00:00Z,2025-06-04T04:00:00Z,TDOPH - First notice published,2025-10-16T04:00:00Z,2025-11-19T05:00:00Z,2026-01-01T05:00:00Z,2030-12-31T05:00:00Z,2030-12-31T05:00:00Z
DP3390,25DP3390,MD3390B02,Atria Manresa Nursing Home,Anne Arundel,H Billian,WMA4,Renewal,Pending Effective,2025-11-10T05:00:00Z,2025-12-31T05:00:00Z,2025-05-04T04:00:00Z,TDOPH - Hearing request period ends,2025-10-14T04:00:00Z,2025-11-10T05:00:00Z,2026-01-01T05:00:00Z,2030-12-31T05:00:00Z,2030-12-31T05:00:00Z
DP2833,25DP2833,MD2833K06,Clustered Spires Golf Course,Frederick,H Billian,WMA4,Renewal,Pending,2024-10-04T04:00:00Z,2025-09-30T04:00:00Z,2024-10-04T04:00:00Z,TDOPH - First notice published,2025-10-14T04:00:00Z,NA,NA,NA,NA
DP3268,25DP3268,MD3268G04,Todd Village Mobile Home Park,Carroll,L Hudson,WMA4,Renewal,Issued,2025-10-15T04:00:00Z,2025-09-30T04:00:00Z,2025-04-29T04:00:00Z,TDOPH - Written comment period ends,2025-10-13T04:00:00Z,2025-10-15T04:00:00Z,2025-11-01T04:00:00Z,2030-10-31T04:00:00Z,2030-10-31T04:00:00Z
DP3770,25DP3770,MD3770M12,Towson University - Academic Center @ Harford Community College,Harford,T Rocca-Weikart,WMA4,Renewal,Pending Effective,2025-10-15T04:00:00Z,2025-12-31T05:00:00Z,2025-01-15T05:00:00Z,TDOPH - Written comment period ends,2025-10-13T04:00:00Z,2025-10-15T04:00:00Z,2026-01-01T05:00:00Z,2030-12-31T05:00:00Z,2030-12-31T05:00:00Z
DP3835,26DP3835,MD3835H16,Recovery Centers of America Earleville,Cecil,E Lambertini,WMA4,Renewal,Pending,2025-09-11T04:00:00Z,NA,2025-09-11T04:00:00Z,OIM - Meeting request period ends,2025-10-10T04:00:00Z,NA,NA,NA,NA
DP3305,25DP3305,MD3305C99,Pearlstone Family Camp,Baltimore,H Billian,WMA4,Renewal,Pending,2024-09-04T04:00:00Z,2025-11-29T05:00:00Z,2024-09-04T04:00:00Z,TDOPH - Second notice published,2025-10-10T04:00:00Z,NA,NA,NA,NA
DP2250,25DP2250,MD2250W01,Poplar Hill Pre-Release Unit,Wicomico,J Robinson,WMA4,Renewal,Pending Effective,2025-10-22T04:00:00Z,2025-01-31T05:00:00Z,2025-01-15T05:00:00Z,TDOPH - Written comment period ends,2025-10-09T04:00:00Z,2025-10-22T04:00:00Z,2025-12-01T05:00:00Z,2030-11-30T05:00:00Z,2030-11-30T05:00:00Z
DP1499,26DP1499,MD1499Q84,"Patuxent River 4-H Center Foundation, Inc.",Prince George's,H Billian,WMA4,Renewal,Pending,2025-08-04T04:00:00Z,2025-09-30T04:00:00Z,2025-08-04T04:00:00Z,TDOPH - Second notice published,2025-10-09T04:00:00Z,NA,NA,NA,NA
DP2273,21DP2273,MD2273X04,Mystic Harbour WWTP,Worcester,D Dewa,WMA4,Renewal,Pending,2021-03-03T05:00:00Z,2022-04-30T04:00:00Z,2021-03-03T05:00:00Z,TDOPH - Hearing request period ends,2025-10-08T04:00:00Z,NA,NA,NA,NA
DP3418,25DP3418,MD3418E02,Calvert Gateway WWTP and WTP,Calvert,H Billian,WMA4,Renewal,Pending Effective,2025-10-08T04:00:00Z,2025-12-31T05:00:00Z,2025-01-15T05:00:00Z,TDOPH - Written comment period ends,2025-10-06T04:00:00Z,2025-10-08T04:00:00Z,2026-01-01T05:00:00Z,2030-12-31T05:00:00Z,2030-12-31T05:00:00Z
DP1814,25DP1814,MD0069680,MARYLAND STATE HIGHWAY ADMINISTRATION - KEYSER'S RIDGE MAINTENANCE FACILITY,Garrett,T Rocca-Weikart,WMA3,Renewal,Pending Effective,2025-10-08T04:00:00Z,2025-12-31T05:00:00Z,2024-12-19T05:00:00Z,TDOPH - Written comment period ends,2025-10-06T04:00:00Z,2025-10-08T04:00:00Z,2026-01-01T05:00:00Z,2030-12-31T05:00:00Z,2030-12-31T05:00:00Z
DP1997,24DP1997,MD1997B06,Crownsville State Hospital Center WWTP,Anne Arundel,E Lambertini,WMA4,Renewal,Issued,2025-10-08T04:00:00Z,2024-09-30T04:00:00Z,2023-09-05T04:00:00Z,TDOPH - Written comment period ends,2025-10-06T04:00:00Z,2025-10-08T04:00:00Z,2025-11-01T04:00:00Z,2030-10-31T04:00:00Z,2030-10-31T04:00:00Z
DP3835,26DP3835,MD3835H16,Recovery Centers of America Earleville,Cecil,E Lambertini,WMA4,Renewal,Pending,2025-09-11T04:00:00Z,NA,2025-09-11T04:00:00Z,OIM - Second notice published,2025-10-03T04:00:00Z,NA,NA,NA,NA
DP3305,25DP3305,MD3305C99,Pearlstone Family Camp,Baltimore,H Billian,WMA4,Renewal,Pending,2024-09-04T04:00:00Z,2025-11-29T05:00:00Z,2024-09-04T04:00:00Z,TDOPH - First notice published,2025-10-03T04:00:00Z,NA,NA,NA,NA
DP3268,25DP3268,MD3268G04,Todd Village Mobile Home Park,Carroll,L Hudson,WMA4,Renewal,Issued,2025-10-15T04:00:00Z,2025-09-30T04:00:00Z,2025-04-29T04:00:00Z,TDOPH - Hearing request period ends,2025-10-02T04:00:00Z,2025-10-15T04:00:00Z,2025-11-01T04:00:00Z,2030-10-31T04:00:00Z,2030-10-31T04:00:00Z
DP1499,26DP1499,MD1499Q84,"Patuxent River 4-H Center Foundation, Inc.",Prince George's,H Billian,WMA4,Renewal,Pending,2025-08-04T04:00:00Z,2025-09-30T04:00:00Z,2025-08-04T04:00:00Z,TDOPH - First notice published,2025-10-02T04:00:00Z,NA,NA,NA,NA
DP3770,25DP3770,MD3770M12,Towson University - Academic Center @ Harford Community College,Harford,T Rocca-Weikart,WMA4,Renewal,Pending Effective,2025-10-15T04:00:00Z,2025-12-31T05:00:00Z,2025-01-15T05:00:00Z,TDOPH - Hearing request period ends,2025-10-02T04:00:00Z,2025-10-15T04:00:00Z,2026-01-01T05:00:00Z,2030-12-31T05:00:00Z,2030-12-31T05:00:00Z
DP3390,25DP3390,MD3390B02,Atria Manresa Nursing Home,Anne Arundel,H Billian,WMA4,Renewal,Pending Effective,2025-11-10T05:00:00Z,2025-12-31T05:00:00Z,2025-05-04T04:00:00Z,TDOPH - Second notice published,2025-10-01T04:00:00Z,2025-11-10T05:00:00Z,2026-01-01T05:00:00Z,2030-12-31T05:00:00Z,2030-12-31T05:00:00Z
DP2250,25DP2250,MD2250W01,Poplar Hill Pre-Release Unit,Wicomico,J Robinson,WMA4,Renewal,Pending Effective,2025-10-22T04:00:00Z,2025-01-31T05:00:00Z,2025-01-15T05:00:00Z,TDOPH - Hearing request period ends,2025-09-29T04:00:00Z,2025-10-22T04:00:00Z,2025-12-01T05:00:00Z,2030-11-30T05:00:00Z,2030-11-30T05:00:00Z
DP3835,26DP3835,MD3835H16,Recovery Centers of America Earleville,Cecil,E Lambertini,WMA4,Renewal,Pending,2025-09-11T04:00:00Z,NA,2025-09-11T04:00:00Z,OIM - First notice published,2025-09-26T04:00:00Z,NA,NA,NA,NA
DP3418,25DP3418,MD3418E02,Calvert Gateway WWTP and WTP,Calvert,H Billian,WMA4,Renewal,Pending Effective,2025-10-08T04:00:00Z,2025-12-31T05:00:00Z,2025-01-15T05:00:00Z,TDOPH - Hearing request period ends,2025-09-25T04:00:00Z,2025-10-08T04:00:00Z,2026-01-01T05:00:00Z,2030-12-31T05:00:00Z,2030-12-31T05:00:00Z
DP2273,21DP2273,MD2273X04,Mystic Harbour WWTP,Worcester,D Dewa,WMA4,Renewal,Pending,2021-03-03T05:00:00Z,2022-04-30T04:00:00Z,2021-03-03T05:00:00Z,TDOPH - Second notice published,2025-09-25T04:00:00Z,NA,NA,NA,NA
DP1997,24DP1997,MD1997B06,Crownsville State Hospital Center WWTP,Anne Arundel,E Lambertini,WMA4,Renewal,Issued,2025-10-08T04:00:00Z,2024-09-30T04:00:00Z,2023-09-05T04:00:00Z,TDOPH - Hearing request period ends,2025-09-25T04:00:00Z,2025-10-08T04:00:00Z,2025-11-01T04:00:00Z,2030-10-31T04:00:00Z,2030-10-31T04:00:00Z
DP1814,25DP1814,MD0069680,MARYLAND STATE HIGHWAY ADMINISTRATION - KEYSER'S RIDGE MAINTENANCE FACILITY,Garrett,T Rocca-Weikart,WMA3,Renewal,Pending Effective,2025-10-08T04:00:00Z,2025-12-31T05:00:00Z,2024-12-19T05:00:00Z,TDOPH - Hearing request period ends,2025-09-24T04:00:00Z,2025-10-08T04:00:00Z,2026-01-01T05:00:00Z,2030-12-31T05:00:00Z,2030-12-31T05:00:00Z
DP3390,25DP3390,MD3390B02,Atria Manresa Nursing Home,Anne Arundel,H Billian,WMA4,Renewal,Pending Effective,2025-11-10T05:00:00Z,2025-12-31T05:00:00Z,2025-05-04T04:00:00Z,TDOPH - First notice published,2025-09-24T04:00:00Z,2025-11-10T05:00:00Z,2026-01-01T05:00:00Z,2030-12-31T05:00:00Z,2030-12-31T05:00:00Z
DP2670,26DP2670,MD2670G06,Company 8 LLC,Carroll,E Lambertini,WMA3,Renewal,Pending,2025-08-28T04:00:00Z,2026-06-30T04:00:00Z,2025-08-28T04:00:00Z,OIM - Meeting request period ends,2025-09-22T04:00:00Z,NA,NA,NA,NA
DP3268,25DP3268,MD3268G04,Todd Village Mobile Home Park,Carroll,L Hudson,WMA4,Renewal,Issued,2025-10-15T04:00:00Z,2025-09-30T04:00:00Z,2025-04-29T04:00:00Z,TDOPH - Second notice published,2025-09-19T04:00:00Z,2025-10-15T04:00:00Z,2025-11-01T04:00:00Z,2030-10-31T04:00:00Z,2030-10-31T04:00:00Z
DP3770,25DP3770,MD3770M12,Towson University - Academic Center @ Harford Community College,Harford,T Rocca-Weikart,WMA4,Renewal,Pending Effective,2025-10-15T04:00:00Z,2025-12-31T05:00:00Z,2025-01-15T05:00:00Z,TDOPH - Second notice published,2025-09-19T04:00:00Z,2025-10-15T04:00:00Z,2026-01-01T05:00:00Z,2030-12-31T05:00:00Z,2030-12-31T05:00:00Z
DP2273,21DP2273,MD2273X04,Mystic Harbour WWTP,Worcester,D Dewa,WMA4,Renewal,Pending,2021-03-03T05:00:00Z,2022-04-30T04:00:00Z,2021-03-03T05:00:00Z,TDOPH - First notice published,2025-09-18T04:00:00Z,NA,NA,NA,NA
DP2250,25DP2250,MD2250W01,Poplar Hill Pre-Release Unit,Wicomico,J Robinson,WMA4,Renewal,Pending Effective,2025-10-22T04:00:00Z,2025-01-31T05:00:00Z,2025-01-15T05:00:00Z,TDOPH - Second notice published,2025-09-16T04:00:00Z,2025-10-22T04:00:00Z,2025-12-01T05:00:00Z,2030-11-30T05:00:00Z,2030-11-30T05:00:00Z
DP2670,26DP2670,MD2670G06,Company 8 LLC,Carroll,E Lambertini,WMA3,Renewal,Pending,2025-08-28T04:00:00Z,2026-06-30T04:00:00Z,2025-08-28T04:00:00Z,OIM - Second notice published,2025-09-15T04:00:00Z,NA,NA,NA,NA
DP3418,25DP3418,MD3418E02,Calvert Gateway WWTP and WTP,Calvert,H Billian,WMA4,Renewal,Pending Effective,2025-10-08T04:00:00Z,2025-12-31T05:00:00Z,2025-01-15T05:00:00Z,TDOPH - Second notice published,2025-09-12T04:00:00Z,2025-10-08T04:00:00Z,2026-01-01T05:00:00Z,2030-12-31T05:00:00Z,2030-12-31T05:00:00Z
DP3268,25DP3268,MD3268G04,Todd Village Mobile Home Park,Carroll,L Hudson,WMA4,Renewal,Issued,2025-10-15T04:00:00Z,2025-09-30T04:00:00Z,2025-04-29T04:00:00Z,TDOPH - First notice published,2025-09-12T04:00:00Z,2025-10-15T04:00:00Z,2025-11-01T04:00:00Z,2030-10-31T04:00:00Z,2030-10-31T04:00:00Z
DP3770,25DP3770,MD3770M12,Towson University - Academic Center @ Harford Community College,Harford,T Rocca-Weikart,WMA4,Renewal,Pending Effective,2025-10-15T04:00:00Z,2025-12-31T05:00:00Z,2025-01-15T05:00:00Z,TDOPH - First notice published,2025-09-12T04:00:00Z,2025-10-15T04:00:00Z,2026-01-01T05:00:00Z,2030-12-31T05:00:00Z,2030-12-31T05:00:00Z
DP1997,24DP1997,MD1997B06,Crownsville State Hospital Center WWTP,Anne Arundel,E Lambertini,WMA4,Renewal,Issued,2025-10-08T04:00:00Z,2024-09-30T04:00:00Z,2023-09-05T04:00:00Z,TDOPH - Second notice published,2025-09-12T04:00:00Z,2025-10-08T04:00:00Z,2025-11-01T04:00:00Z,2030-10-31T04:00:00Z,2030-10-31T04:00:00Z
DP1814,25DP1814,MD0069680,MARYLAND STATE HIGHWAY ADMINISTRATION - KEYSER'S RIDGE MAINTENANCE FACILITY,Garrett,T Rocca-Weikart,WMA3,Renewal,Pending Effective,2025-10-08T04:00:00Z,2025-12-31T05:00:00Z,2024-12-19T05:00:00Z,TDOPH - Second notice published,2025-09-11T04:00:00Z,2025-10-08T04:00:00Z,2026-01-01T05:00:00Z,2030-12-31T05:00:00Z,2030-12-31T05:00:00Z
DP2250,25DP2250,MD2250W01,Poplar Hill Pre-Release Unit,Wicomico,J Robinson,WMA4,Renewal,Pending Effective,2025-10-22T04:00:00Z,2025-01-31T05:00:00Z,2025-01-15T05:00:00Z,TDOPH - First notice published,2025-09-09T04:00:00Z,2025-10-22T04:00:00Z,2025-12-01T05:00:00Z,2030-11-30T05:00:00Z,2030-11-30T05:00:00Z
DP3573,25DP3573,MD3573I07,Camp Winona,Charles,L Hudson,WMA4,Renewal,Pending Effective,2025-09-10T04:00:00Z,2025-12-31T05:00:00Z,2024-12-20T05:00:00Z,TDOPH - Written comment period ends,2025-09-08T04:00:00Z,2025-09-10T04:00:00Z,2026-01-01T05:00:00Z,2030-12-31T05:00:00Z,2030-12-31T05:00:00Z
DP2670,26DP2670,MD2670G06,Company 8 LLC,Carroll,E Lambertini,WMA3,Renewal,Pending,2025-08-28T04:00:00Z,2026-06-30T04:00:00Z,2025-08-28T04:00:00Z,OIM - First notice published,2025-09-08T04:00:00Z,NA,NA,NA,NA
